Size,Naive_FFT,Cooley-Tukey_FFT,Parallel_Cooley-Tukey_FFTtime,Optimized_Cooley-Tukey_FFT,Optimized_parallel_Cooley-Tukey_FFT
4,13,2,172,1,4
128,692,79,315,20,26
256,2821,155,509,32,43
512,10863,317,484,94,79
1024,44553,657,698,206,150
2048,174937,1443,1247,466,317
4096,685997,2982,2220,1044,562
8192,2.6766e+06,6103,4368,2252,1179
16384,1.1144e+07,13349,9156,4904,2375
32768,4.4123e+07,27659,16829,10293,4691
65536,1.84858e+08,61409,32471,19316,9339
131072,7.4942e+08,124374,62543,39693,19669
262144,3.8877e+09,241117,127655,77288,41054
